19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-5 (-5) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST server.TACConnection|TAC CONNECTION FirstTest@tac-6 FROM 127.0.0.1 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-1 (-1) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST server.Market|MARKET 5 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-7 (-7) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-6 (-6) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-4 (-4) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-3 (-3) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST classic.DummyAgent|BUILTIN AGENT Dummy-2 (-2) IN GAME 5 IS BEING GARBAGED
19/03 16:37:01 FINEST server.AgentManager|AGENTMANAGER AgentManager@5 IS BEING GARBAGED
19/03 16:37:01 FINEST server.TACConnection|TAC CONNECTION FirstTest@tac-5 FROM 127.0.0.1 IS BEING GARBAGED
